original_textgrid_file	original_wav_file	extract_sound_file_name	extract_textgrid_file_name	extract_start_time_in_original_file	extract_end_time_in_original_file	interval_label_in_original_file
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait1_<nib>.wav	common_voice_ar_19441272_extrait1_<nib>.TextGrid	0.07	0.25	<nib>
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait2_a.wav	common_voice_ar_19441272_extrait2_a.TextGrid	0.29	0.35	a
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait3_a:.wav	common_voice_ar_19441272_extrait3_a:.TextGrid	0.52	0.69	a:
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait4_a.wav	common_voice_ar_19441272_extrait4_a.TextGrid	0.88	0.93	a
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait5_a.wav	common_voice_ar_19441272_extrait5_a.TextGrid	1.25	1.35	a
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait6_i:.wav	common_voice_ar_19441272_extrait6_i:.TextGrid	1.39	1.61	i:
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait7_<usb>.wav	common_voice_ar_19441272_extrait7_<usb>.TextGrid	1.76	2.21	<usb>
common_voice_ar_19441272.TextGrid	common_voice_ar_19441272.wav	common_voice_ar_19441272_extrait8_<nib>.wav	common_voice_ar_19441272_extrait8_<nib>.TextGrid	2.21	2.63	<nib>
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait1_<nib>.wav	common_voice_ar_19441273_extrait1_<nib>.TextGrid	0.09	0.51	<nib>
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait2_a.wav	common_voice_ar_19441273_extrait2_a.TextGrid	0.8	0.87	a
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait3_a.wav	common_voice_ar_19441273_extrait3_a.TextGrid	0.97	1.04	a
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait4_i:.wav	common_voice_ar_19441273_extrait4_i:.TextGrid	1.08	1.18	i:
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait5_<nib>.wav	common_voice_ar_19441273_extrait5_<nib>.TextGrid	1.21	1.31	<nib>
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait6_i:.wav	common_voice_ar_19441273_extrait6_i:.TextGrid	1.54	1.83	i:
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait7_<nib>.wav	common_voice_ar_19441273_extrait7_<nib>.TextGrid	1.83	2.05	<nib>
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait8_<usb>.wav	common_voice_ar_19441273_extrait8_<usb>.TextGrid	2.05	2.45	<usb>
common_voice_ar_19441273.TextGrid	common_voice_ar_19441273.wav	common_voice_ar_19441273_extrait9_<nib>.wav	common_voice_ar_19441273_extrait9_<nib>.TextGrid	2.45	2.69	<nib>
